Year,Quarter,Month,Day,Sum of Close_Pct_Change,Sum of Low,Sum of Volume,Sum of Quarter
1979,Qtr 1,January,3,0.02264959742794792,-1.6215238552531774,-0.5903822803263603,3
1979,Qtr 1,January,4,0.02841780799252569,-1.7957174390462272,-0.8855734204895405,3
1979,Qtr 1,January,5,0.02315025995742981,-1.7917060093856843,-0.8855734204895405,3
1979,Qtr 1,January,8,-0.0033815396193153102,-1.7914089675643825,-0.8855734204895405,3
1979,Qtr 1,January,9,0.012018333049097274,-1.7905133348525497,-0.8855734204895405,3
1979,Qtr 1,January,10,-0.005329638341528442,-1.7887588734087416,-0.8855734204895405,3
1979,Qtr 1,January,11,0.00999338048550169,-1.7866917449802568,-0.8855734204895405,3
1979,Qtr 1,January,12,0.01635175376811915,-1.7863254354913785,-0.8855734204895405,3
1979,Qtr 1,January,15,0.013054638380477934,-1.6188704349361818,-0.5903822803263603,3
1979,Qtr 1,January,16,-0.01667563664936267,-1.7861132686328498,-0.8855734204895405,3
1979,Qtr 1,January,17,-0.002585794551509757,-1.7868481241481255,-0.8855734204895405,3
1979,Qtr 1,January,18,0.008026278124761088,-1.7871530010538512,-0.8855734204895405,3
1979,Qtr 1,January,19,0.003374776927034473,-1.7871172595605342,-0.8855734204895405,3
1979,Qtr 1,January,22,0.0015774728775068692,-1.7868670730159804,-0.8855734204895405,3
1979,Qtr 1,January,23,0.01568587789189979,-1.7843108520142557,-0.8855734204895405,3
1979,Qtr 1,January,24,-0.0004299868941942675,-1.7817735476059888,-0.8855734204895405,3
1979,Qtr 1,January,25,0.019513753046790594,-1.7802502854222966,-0.8855734204895405,3
1979,Qtr 1,January,26,0.011939215248886637,-1.7794082490924308,-0.8855734204895405,3
1979,Qtr 1,January,29,0.0005447064496663101,-1.7760769402505745,-0.8855734204895405,3
1979,Qtr 1,January,30,-0.007462250284697158,-1.7770954241691985,-0.8855734204895405,3
1979,Qtr 1,January,31,-0.011915436620312136,-1.774911066867841,-0.8855734204895405,3
1979,Qtr 1,February,1,-0.0023480922455330067,-1.7763326812299698,-0.8855734204895405,3
1979,Qtr 1,February,2,-0.005320565934231025,-1.7779922138455642,-0.8855734204895405,3
1979,Qtr 1,February,5,-0.031960769299027914,-1.783371646186641,-0.8855734204895405,3
1979,Qtr 1,February,6,-0.009332249305862073,-1.7893931826756342,-0.8855734204895405,3
1979,Qtr 1,February,7,-0.019824409143348598,-1.7889632443811614,-0.8855734204895405,3
1979,Qtr 1,February,8,0.009058600809647377,-1.7891720627431122,-0.8855734204895405,3
1979,Qtr 1,February,9,-0.005304031377758367,-1.7961384302972165,-0.8855734204895405,3
1979,Qtr 1,February,12,0.005445716098738451,-1.6204171480985552,-0.5903822803263603,3
1979,Qtr 1,February,13,0.012253666885767234,-1.79676269686628,-0.8855734204895405,3
1979,Qtr 1,February,14,0.003249013484551422,-1.7926653374620751,-0.8855734204895405,3
1979,Qtr 1,February,15,0.008582320427202306,-1.7881100244702943,-0.8855734204895405,3
1979,Qtr 1,February,16,0.009371901566631924,-1.7850378492164751,-0.8855734204895405,3
1979,Qtr 1,February,19,-0.0006428463611740654,-0.16562019440182235,-0.29519114016318015,1
1979,Qtr 1,February,20,0.007304104316449123,-1.7860004976470627,-0.8855734204895405,3
1979,Qtr 1,February,21,-0.006487728794473457,-1.7882898299364232,-0.8855734204895405,3
1979,Qtr 1,February,22,-0.007917948711350431,-1.78782861462461,-0.8855734204895405,3
1979,Qtr 1,February,23,-0.01313560905172284,-1.7910315009617415,-0.8855734204895405,3
1979,Qtr 1,February,26,-0.0016010874815838294,-1.790251981701763,-0.8855734204895405,3
1979,Qtr 1,February,27,-0.03844359048656387,-1.7942287724472545,-0.8855734204895405,3
1979,Qtr 1,February,28,0.0015292749265028993,-1.7933309176041217,-0.8855734204895405,3
1979,Qtr 1,March,1,-0.002885825173114087,-1.8036765688298646,-0.8855734204895405,3
1979,Qtr 1,March,2,0.0036071724810166073,-1.8038485646737232,-0.8855734204895405,3
1979,Qtr 1,March,5,0.026257444472578495,-1.798423335522099,-0.8855734204895405,3
1979,Qtr 1,March,6,-0.007327310261034614,-1.800938299905658,-0.8855734204895405,3
1979,Qtr 1,March,7,0.01974805052828965,-1.7976762441018077,-0.8855734204895405,3
1979,Qtr 1,March,8,0.023602000042219018,-1.7958436420998787,-0.8855734204895405,3
1979,Qtr 1,March,9,0.004383676430505856,-1.7939306110729183,-0.8855734204895405,3
1979,Qtr 1,March,12,0.0038461872466827307,-1.7916736207443131,-0.8855734204895405,3
1979,Qtr 1,March,13,0.0053749549316683964,-1.7919539560424365,-0.8855734204895405,3
1979,Qtr 1,March,14,-0.003191206219749665,-1.7931611847650204,-0.8855734204895405,3
1979,Qtr 1,March,15,0.00047127280255931936,-1.7956013060510525,-0.8855734204895405,3
1979,Qtr 1,March,16,0.014059336220437979,-1.7948318296005796,-0.8855734204895405,3
1979,Qtr 1,March,19,0.008631610102503462,-1.7940835880279988,-0.8855734204895405,3
1979,Qtr 1,March,20,-0.0038437851834142167,-1.7917931199925672,-0.8855734204895405,3
1979,Qtr 1,March,21,0.011781884598184744,-1.6177011859195747,-0.5903822803263603,3
1979,Qtr 1,March,22,0.012963203639984933,-1.7885556340503765,-0.8855734204895405,3
1979,Qtr 1,March,23,0.004525830808376985,-1.7879358465868602,-0.8855734204895405,3
1979,Qtr 1,March,26,-0.005640347146826152,-1.785939053226242,-0.8855734204895405,3
1979,Qtr 1,March,27,0.019945289495295837,-1.784125439290484,-0.8855734204895405,3
1979,Qtr 1,March,28,-0.0025695493930248947,-1.7844091181714354,-0.8855734204895405,3
1979,Qtr 1,March,29,0.007582432354956814,-1.781277700191367,-0.8855734204895405,3
1979,Qtr 1,March,30,-0.00041569013037789926,-1.7817020441826263,-0.8855734204895405,3
1979,Qtr 2,April,2,-0.01737115985794857,-1.7872422979440017,-0.8855734204895405,6
1979,Qtr 2,April,3,0.012982587947346302,-1.7921873569971236,-0.8855734204895405,6
1979,Qtr 2,April,4,0.00663217929445703,-1.7914926922631902,-0.8855734204895405,6
1979,Qtr 2,April,5,0.012359820681255851,-1.7899136177084172,-0.8855734204895405,6
1979,Qtr 2,April,6,0.002670949989204696,-1.789784042371176,-0.8855734204895405,6
1979,Qtr 2,April,9,-0.009276506949249308,-1.7943304049691902,-0.8855734204895405,6
1979,Qtr 2,April,10,-0.005390416713380364,-1.8034275281939078,-0.8855734204895405,6
1979,Qtr 2,April,11,0.0058251416536121425,-1.7910415642079756,-0.8855734204895405,6
1979,Qtr 2,April,12,0.0023219856900448255,-1.7880620513156538,-0.8855734204895405,6
1979,Qtr 2,April,13,0.007356297835347636,-0.16665766984857633,-0.29519114016318015,2
1979,Qtr 2,April,16,-0.017212549628039864,-1.7843912307850363,-0.8855734204895405,6
1979,Qtr 2,April,17,-0.006799719106405866,-1.787922418762688,-0.8855734204895405,6
1979,Qtr 2,April,18,0.006532971052200187,-1.789751696166728,-0.8855734204895405,6
1979,Qtr 2,April,19,-0.0011287276239871913,-1.7893083146367799,-0.8855734204895405,6
1979,Qtr 2,April,20,0.009961365132228117,-1.7849987219267591,-0.8855734204895405,6
1979,Qtr 2,April,23,0.007883778724809165,-1.7827797401165684,-0.8855734204895405,6
1979,Qtr 2,April,24,0.01194571377500897,-1.7802603392877372,-0.8855734204895405,6
1979,Qtr 2,April,25,0.013219331058402783,-1.7755699612960203,-0.8855734204895405,6
1979,Qtr 2,April,26,-0.0033509329585198477,-1.7742197736357639,-0.8855734204895405,6
1979,Qtr 2,April,27,0.0005434514733252405,-1.7711341449839428,-0.8855734204895405,6
1979,Qtr 2,April,30,-0.004785065720345649,-1.6165866536197022,-0.5903822803263603,6
